study_id,mext_code,school_name,yotsuya_deviation_value,establishment,school_type,area,prefecture,address,postal_code,study_url
B13P030,C113311200052,恵泉女学園中学校,56,私立,女子校,東京23区,東京都,東京都世田谷区船橋５－８－１,1560055,https://www.study1.jp/kanto/school/B13P030/
B12P012,C112310000217,専修大学松戸中学校,56,私立,共学校,千葉県,千葉県,千葉県松戸市上本郷２－３６２１,2718585,https://www.study1.jp/kanto/school/B12P012/
B14P046,C113320800048,ドルトン東京学園中等部,56,私立,共学校,東京23区外,東京都,東京都調布市入間町二丁目２８番２０号,1820004,https://www.study1.jp/kanto/school/B14P046/
B13P131,C113310700013,安田学園中学校,56,私立,共学校,東京23区,東京都,東京都墨田区横網２－２－２５,1308615,https://www.study1.jp/kanto/school/B13P131/
B11C004,C111220300289,川口市立高等学校附属中学校,55,公立中高一貫,共学校,埼玉県,埼玉県,埼玉県川口市上青木３－１－４０,3330844,https://www.study1.jp/kanto/school/B11C004/
B13P048,C113311900019,淑徳中学校,55,私立,共学校,東京23区,東京都,東京都板橋区前野町５－１４－１,1748643,https://www.study1.jp/kanto/school/B13P048/
B13P069,C113310400043,成城中学校,55,私立,男子校,東京23区,東京都,東京都新宿区原町３－８７,1628670,https://www.study1.jp/kanto/school/B13P069/
B09C001,C109210001525,栃木県立宇都宮東高等学校付属中学校,55,公立中高一貫,共学校,栃木県,栃木県,栃木県宇都宮市石井町３３６０－１,3210912,https://www.study1.jp/kanto/school/B09C001/
B13P089,C113311300033,東京女学館中学校,55,私立,女子校,東京23区,東京都,東京都渋谷区広尾３－７－１６,1500012,https://www.study1.jp/kanto/school/B13P089/
B13N007,D213110000011,東京大学教育学部附属中等教育学校,55,国立,共学校,東京23区,東京都,東京都中野区南台１－１５－１,1648654,https://www.study1.jp/kanto/school/B13N007/
B15P015,C114310000224,公文国際学園中等部,54,私立,共学校,神奈川県,神奈川県,神奈川県横浜市戸塚区小雀町７７７,2440004,https://www.study1.jp/kanto/school/B15P015/
